idCidadao;nome;cartaoSUS;dataNascimento;celular;telefone;email;endereco;cep
1;Manuela S Souza;545882816181914;27/11/1964;;(87) 8848-6068;ManuelaSilvaSouza@cuvox.de;;
2;Larissa C Pereira;566375061345883;17/10/1975;;(45) 3037-8520;LarissaCardosoPereira@cuvox.de;;
3;Luan S Melo;347826018726927;16/12/1959;;(11) 5032-7145;LuanSousaMelo@einrot.com;;
4;Renan A Pereira;384922539664153;16/11/1925;;(11) 7169-8786;RenanAlmeidaPereira@jourrapide.com;;
5;Gustavo R Souza;160915864217143;24/07/2018;;(21) 9144-6135;GustavoRibeiroSouza@superrito.com;;
6;Beatrice P Lima;488260972755347;01/02/1996;;(55) 6845-7535;BeatricePintoLima@jourrapide.com;;
7;Ágatha S Oliveira;186688931997312;25/05/1959;;(71) 6011-3695;AgathaSousaOliveira@gustr.com;;
8;Felipe P Ribeiro;651488575851395;26/11/1941;;(11) 3923-4266;FelipePereiraRibeiro@rhyta.com;;
9;Vitór A Souza;114782676765506;07/10/1970;;(19) 7392-8382;VitorAlmeidaSouza@dayrep.com;;
10;Marisa B Barros;772921789364404;23/02/2012;;(21) 2754-8533;MarisaBarbosaBarros@gustr.com;;
11;Eduardo F Rocha;25403761338988;06/12/2011;;(27) 8509-8017;EduardoFernandesRocha@cuvox.de;;
12;Gabriela R Melo;665858026952403;07/12/1923;;(71) 9315-6006;GabrielaRibeiroMelo@teleworm.us;;
13;Bruno G Rocha;805455721965753;09/09/1997;;(11) 2961-8509;BrunoGoncalvesRocha@fleckens.hu;;
14;Leonardo G Cunha;510105908504844;05/08/1958;;(83) 8207-3269;LeonardoGoncalvesCunha@gustr.com;;
15;Ágatha S Alves;135670253349814;24/12/1968;;(48) 5888-3848;AgathaSouzaAlves@einrot.com;;
16;Raissa D Santos;276296886746131;01/08/1936;;(27) 9405-8442;RaissaDiasSantos@teleworm.us;;
17;Matilde L Barros;644111236671553;19/08/1936;;(11) 8038-2580;MatildeLimaBarros@rhyta.com;;
18;Eduarda F Rocha;80619398073786;22/07/1924;;(49) 5590-2760;EduardaFernandesRocha@jourrapide.com;;
19;Mariana A Sousa;851372506163329;04/09/2017;;(81) 2995-2611;MarianaAzevedoSousa@armyspy.com;;
20;Isabella M Almeida;637608638535904;31/01/1960;;(44) 3008-3819;IsabellaMartinsAlmeida@superrito.com;;
21;Júlia R Rocha;690727078694927;25/11/2014;;(18) 9258-2227;JuliaRodriguesRocha@rhyta.com;;
22;João P Oliveira;990661534388989;02/09/2015;;(31) 6524-7005;JoaoPintoOliveira@cuvox.de;;
